arc:arcane/vi/holding_everyone_together | Vi | the eldest child who became the family's protector | The oldest sibling, pushed into a parent's role too early, feels responsible for everyone's safety and everyone's mistakes. Angry at a world that seems rigged against her family and impatient with the adult who urges caution, she wants to fix everything herself, and has to learn what that burden costs her and the people she is shielding. | conflicts: control_vs_trust,duty_vs_desire | situations: responsibility_you_didnt_ask_for,caring_for_family,standing_up_to_authority,coming_of_age | tone: tragic
arc:arcane/vi/searching_for_her_sister | Vi | trying to reconnect with an estranged sibling | After years apart, a person tries to find and reconnect with a younger sibling they feel they failed, only to discover that the sibling has grown up shaped by that abandonment. Torn between guilt, love and the need to protect other people, they must decide how much of the past can be repaired, while also opening up to a new and unlikely love. | conflicts: holding_on_vs_letting_go,past_vs_future | situations: redemption_after_mistakes,falling_for_someone_unexpected,grief_and_loss,caring_for_family | tone: bittersweet
arc:arcane/powder/desperate_to_be_useful | Powder (Jinx) | the youngest child terrified of being left behind | The youngest in the family keeps hearing that she is too little, too clumsy, the one who messes things up. She pours everything into proving she can help, because being useful feels like the only way to be kept. Her story looks at how a sensitive child's fear of abandonment shapes her, and how much the words of the people she loves can build her up or break her. | conflicts: self_vs_family_expectations,holding_on_vs_letting_go | situations: confidence_struggle,identity_and_self_acceptance,grief_and_loss,sibling_rivalry | tone: bittersweet
arc:arcane/jayce_talis/dream_called_reckless | Jayce Talis | picking yourself up after public failure | A driven young person bets everything on an unconventional idea and fails publicly, losing their place, their mentors' support and any sense of a future. At rock bottom, a partnership with an unlikely collaborator offers a second chance, and the question becomes whether success will change them. | conflicts: safety_vs_growth,self_vs_family_expectations | situations: taking_a_big_risk,losing_a_job,starting_over,mentor_and_protege | tone: hopeful
arc:arcane/jayce_talis/when_success_changes_you | Jayce Talis | an idealist pulled into compromise by power | Someone who got ahead on a pure ideal discovers that influence demands compromise. Each small deal feels justified, but they drift from their closest collaborator and from their own principles, and have to face whether they are still the person who started out. | conflicts: power_vs_morality,career_vs_relationships | situations: becoming_a_manager,friendship_ending,redemption_after_mistakes,responsibility_you_didnt_ask_for | tone: tragic
arc:arcane/viktor/overlooked_genius_finds_a_partner | Viktor | the quiet outsider whose talent goes unseen | Someone from a poor background with a visible disability has worked hard to earn a modest place among the privileged, but still lives in the background. When they spot potential that others dismissed, they risk their position to champion it, and find in a collaboration the recognition and companionship they have always lacked. | conflicts: safety_vs_growth,fitting_in_vs_standing_out | situations: finding_your_people,taking_a_big_risk,identity_and_self_acceptance,imposter_syndrome | tone: hopeful
arc:arcane/viktor/racing_the_clock | Viktor | facing mortality by chasing a legacy | A person facing a serious illness pours themselves into their work, desperate to leave something meaningful behind. The urgency makes them take risks with their health and with the people around them, and forces the question of what a good life, and a good legacy, really is. | conflicts: power_vs_morality,holding_on_vs_letting_go | situations: illness_or_injury,grief_and_loss,burnout_at_work,identity_and_self_acceptance | tone: tragic
arc:arcane/caitlyn_kiramman/privileged_idealist | Caitlyn Kiramman | leaving a sheltered life to find your purpose | A person raised in comfort rejects the safe path their family planned and insists on doing meaningful work, even though no one takes them seriously. Stepping into a world far harder than their own challenges everything they assumed, forces them to face their privilege, and opens them up to someone they would never otherwise have met. | conflicts: self_vs_family_expectations,belonging_vs_integrity | situations: family_expectations,falling_for_someone_unexpected,standing_up_to_authority,imposter_syndrome | tone: bittersweet
arc:arcane/caitlyn_kiramman/grief_wants_someone_to_pay | Caitlyn Kiramman | grief hardening into a need for revenge | After a devastating loss, a person turns their pain into a crusade. The mission gives them purpose and power, but it also pushes away the people who love them and slowly erodes the values they once lived by. They have to decide who they want to be once the anger runs out. | conflicts: revenge_vs_forgiveness,power_vs_morality | situations: grief_and_loss,redemption_after_mistakes,becoming_a_manager,breakup | tone: bittersweet
arc:arcane/silco/an_old_wound_as_a_mission | Silco | a grievance that becomes a life's purpose | Someone deeply hurt by a person they once trusted builds their whole identity around never being that powerless again. Their cause may be just, but the old wound drives everything, and they must face whether they have become the very thing they hated. | conflicts: revenge_vs_forgiveness,power_vs_morality | situations: friendship_ending,standing_up_to_authority,taking_a_big_risk | tone: ambiguous
arc:arcane/silco/the_cause_or_the_child | Silco | choosing between your life's work and your child | A hard, guarded person unexpectedly becomes a parent figure and loves fiercely in their own flawed way. When their life's ambition and their child's wellbeing collide, they are forced to face the same choice they once condemned someone else for making, and to question what kind of love they have been offering. | conflicts: career_vs_relationships,control_vs_trust | situations: becoming_a_parent,caring_for_family,responsibility_you_didnt_ask_for | tone: tragic
arc:arcane/vander/keeping_the_peace | Vander | a reformed fighter protecting his family | A parent figure with a violent past has chosen peace for the sake of the children they took in, even if it means swallowing their pride and making compromises others see as weakness. When the kids' mistakes bring danger to the door, they must decide how far they will go to protect them, and whether to tell them the truth about their past. | conflicts: truth_vs_protecting_others,safety_vs_growth | situations: caring_for_family,redemption_after_mistakes,becoming_a_parent,responsibility_you_didnt_ask_for | tone: tragic
arc:arcane/ekko/growing_up_too_fast | Ekko | a kid forced to carry adult responsibilities | A young person who idolised the older people around them is thrown into a world where they have to take care of themselves and others far too early. They become the one others rely on, while carrying grief and broken friendships they never had time to process. | conflicts: revenge_vs_forgiveness,duty_vs_desire | situations: responsibility_you_didnt_ask_for,coming_of_age,friendship_ending,grief_and_loss | tone: bittersweet
arc:arcane/ekko/the_life_he_could_have_had | Ekko | choosing duty over a comfortable escape | Someone who has carried heavy responsibility for years is offered an escape into a life that has everything they wished for: safety, belonging, even love. Staying would be easy and arguably deserved, but leaving means going back to people who depend on them. They have to decide what they owe themselves versus what they owe others. | conflicts: duty_vs_desire,holding_on_vs_letting_go | situations: responsibility_you_didnt_ask_for,moving_somewhere_new,falling_for_someone_unexpected,starting_over | tone: bittersweet
arc:attack_on_titan/eren_yeager/channeling_helplessness_into_rage | Eren Yeager | turning helpless grief into a burning mission | After a devastating loss they could do nothing to stop, a young person pours all their grief into fury and a vow to fight back, measuring their worth by whether they are strong enough. Driven, reckless and quick to anger, they keep pushing forward even when they fall short of the people around them, and must learn whether that fire is freeing them or consuming them. | conflicts: revenge_vs_forgiveness,safety_vs_growth | situations: grief_and_loss,coming_of_age,confidence_struggle,starting_over | tone: ambiguous
arc:attack_on_titan/eren_yeager/pushing_everyone_away | Eren Yeager | withdrawing from loved ones under an unshared burden | Someone who was once open and passionate becomes distant and closed-off, carrying something heavy they feel they cannot share. The people who love them watch helplessly as they withdraw, and they themselves wrestle with whether their path is truly a free choice or something they feel trapped into. It is a story about isolation, being misunderstood, and what it costs to push away everyone who cares. | conflicts: independence_vs_connection,power_vs_morality | situations: loneliness,friendship_ending,responsibility_you_didnt_ask_for,identity_and_self_acceptance | tone: tragic
arc:attack_on_titan/mikasa_ackerman/protecting_her_only_family | Mikasa Ackerman | making protecting a loved one your whole identity | After losing their first family, a person clings to the one person who gave them a reason to keep living and makes protecting them the center of everything. They are extraordinarily capable, but their devotion shapes every decision, sometimes to their own harm. Slowly they have to face whether they can have a self, and a future, that isn't defined by someone else. | conflicts: holding_on_vs_letting_go,duty_vs_desire | situations: caring_for_family,grief_and_loss,identity_and_self_acceptance,unrequited_love | tone: bittersweet
arc:attack_on_titan/mikasa_ackerman/loving_someone_who_is_changing | Mikasa Ackerman | holding on to someone who is becoming a stranger | A person watches someone they love deeply change into someone harder and colder, and keeps defending them long after others have given up. Hurt, loyal and torn, they must decide what love asks of them when the person they love starts causing harm, and whether they can let go of the version of them they remember. | conflicts: holding_on_vs_letting_go,duty_vs_desire | situations: unrequited_love,grief_and_loss,friendship_ending,identity_and_self_acceptance | tone: bittersweet
arc:attack_on_titan/armin_arlert/finding_his_worth | Armin Arlert | discovering your worth isn't where you looked | Someone who has always felt like the weak link, dependent on stronger friends, carries deep shame about being a burden. Pushed into situations where they must contribute, they slowly discover that their real strength lies in how they think rather than in what they lack, while still wrestling with self-doubt and the belief that their life matters less than other people's. | conflicts: safety_vs_growth,fitting_in_vs_standing_out | situations: confidence_struggle,imposter_syndrome,finding_your_people,coming_of_age | tone: hopeful
arc:attack_on_titan/armin_arlert/standing_in_a_greater_place | Armin Arlert | stepping into a role you feel unworthy of | Someone ends up carrying expectations and responsibilities they believe belonged to a more capable person. Haunted by comparison and a sense that they don't deserve their place, they second-guess every decision, while trying to stay kind and hold on to their ideals in a world that keeps demanding harder choices. | conflicts: power_vs_morality,past_vs_future | situations: imposter_syndrome,responsibility_you_didnt_ask_for,becoming_a_manager,grief_and_loss | tone: bittersweet
arc:attack_on_titan/levi/carrying_the_fallen | Levi | the stoic protector who carries everyone's losses | The most capable person in a high-stakes group seems cold and unshakeable, but quietly carries every loss of the people who trusted them. Loyal to one leader and responsible for younger people, they must keep making hard calls with no guarantee of being right, and learn to live with choices they can't take back. | conflicts: duty_vs_desire,holding_on_vs_letting_go | situations: grief_and_loss,mentor_and_protege,responsibility_you_didnt_ask_for,burnout_at_work | tone: bittersweet
arc:attack_on_titan/levi/the_man_who_raised_him | Levi | confronting the person who shaped you | Someone who grew up in harsh circumstances meets again the older figure who half-raised them and taught them everything they know about survival. Seeing their own habits reflected in that person forces them to ask how much of who they are was learned, what they really were to that person, and whether they can become something different. | conflicts: past_vs_future,independence_vs_connection | situations: difficult_parent,identity_and_self_acceptance,standing_up_to_authority,grief_and_loss | tone: bittersweet
